date,GVA,USA Today,Mother Jones
01/01/2013,18,2,0
02/01/2013,17,0,0
03/01/2013,26,1,1
04/01/2013,23,4,1
05/01/2013,34,2,0
06/01/2013,39,1,1
07/01/2013,38,2,1
08/01/2013,31,2,0
09/01/2013,33,2,1
10/01/2013,27,4,0
11/01/2013,26,2,0
12/01/2013,27,1,0
01/01/2014,20,2,0
02/01/2014,22,2,1
03/01/2014,18,0,0
04/01/2014,26,0,0
05/01/2014,30,1,0
06/01/2014,27,1,0
07/01/2014,35,2,0
08/01/2014,51,1,0
09/01/2014,28,2,0
10/01/2014,24,2,1
11/01/2014,26,2,0
12/01/2014,28,3,0
01/01/2015,24,2,0
02/01/2015,18,2,0
03/01/2015,30,1,0
04/01/2015,18,1,0
05/01/2015,38,2,0
06/01/2015,42,3,1
07/01/2015,45,3,1
08/01/2015,41,2,0
09/01/2015,38,2,0
10/01/2015,23,1,1
11/01/2015,35,3,0
12/01/2015,20,1,1