date,google,Search Volume,Incidents,Deaths
1/4/2015,15,5,7,14
1/11/2015,14,4.666666667,6,7
1/18/2015,13,4.333333333,5,10
1/25/2015,13,4.333333333,3,6
2/1/2015,14,4.666666667,5,10
2/8/2015,15,5,2,3
2/15/2015,14,4.666666667,3,1
2/22/2015,17,5.666666667,6,19
3/1/2015,16,5.333333333,3,3
3/8/2015,16,5.333333333,6,4
3/15/2015,15,5,6,6
3/22/2015,17,5.666666667,5,6
3/29/2015,15,5,2,0
4/5/2015,14,4.666666667,5,3
4/12/2015,18,6,6,7
4/19/2015,18,6,4,3
4/26/2015,17,5.666666667,3,6
5/3/2015,16,5.333333333,7,6
5/10/2015,15,5,8,8
5/17/2015,12,4,5,13
5/24/2015,11,3.666666667,10,5
5/31/2015,13,4.333333333,9,12
6/7/2015,10,3.333333333,11,15
6/14/2015,25,8.333333333,10,11
6/21/2015,32,10.66666667,6,2
6/28/2015,18,6,10,3
7/5/2015,15,5,4,4
7/12/2015,13,4.333333333,18,17
7/19/2015,20,6.666666667,9,11
7/26/2015,17,5.666666667,5,2
8/2/2015,18,6,12,17
8/9/2015,13,4.333333333,7,4
8/16/2015,11,3.666666667,9,10
8/23/2015,30,10,9,12
8/30/2015,23,7.666666667,5,3
9/6/2015,15,5,10,10
9/13/2015,18,6,5,8
9/20/2015,17,5.666666667,8,3
9/27/2015,66,22,9,16
10/4/2015,100,33.33333333,5,2
10/11/2015,57,19,3,1
10/18/2015,38,12.66666667,4,1
10/25/2015,32,10.66666667,6,2
11/1/2015,29,9.666666667,4,7
11/8/2015,34,11.33333333,5,7
11/15/2015,34,11.33333333,6,10
11/22/2015,19,6.333333333,11,10
11/29/2015,88,29.33333333,3,17
12/6/2015,85,28.33333333,6,5
12/13/2015,42,14,3,3
12/20/2015,23,7.666666667,7,2