president,wordcount,no_speeches
George Washington,16695,8
John Adams,7192,4
Thomas Jefferson,20778,8
James Madison,21767,8
James Monroe,42393,8
John Quincy Adams,31095,4
Andrew Jackson,85250,8
Martin van Buren,45358,4
John Tyler,34016,4
William Henry Harrison,0,0
James Polk,72074,4
Zachary Taylor,7629,1
Millard Fillmore,31513,3
Franklin Pierce,41844,4
James Buchanan,56399,4
Abraham Lincoln,27508,4
Andrew Johnson,38183,4
Ulysses S. Grant,65185,8
Rutherford B. Hayes,34271,4
James A. Garfield,0,0
Chester A. Arthur,19664,4
Grover Cleveland,107559,8
Benjamin Harrison,54533,4
William McKinley,47481,3
Theodore Roosevelt,157086,8
William H. Taft,88694,5
Woodrow Wilson,34806,8
Warren Harding,11368,2
Calvin Coolidge,51713,6
Herbert Hoover,22245,4
Franklin D. Roosevelt,47163,12
Harry S. Truman,66378,8
Dwight D. Eisenhower,54218,9
John F. Kennedy,16960,3
Lyndon B. Johnson,28975,6
Richard Nixon,19756,5
Gerald R. Ford,13727,3
Jimmy Carter,44823,4
Ronald Reagan,32225,7
George H.W. Bush,17117,4
William J. Clinton,58804,8
George W. Bush,43548,9
Barack Obama,27014,4